timestamp_ms,utc,open,high,low,close,volume_btc,volume_quote,confirmed
1660348800000,2022-08-13T00:00:00+00:00,24400,24880,24292.4,24441.2,8548.08562915,210317758.28067477,1
1660435200000,2022-08-14T00:00:00+00:00,24441.4,25035.3,24140.3,24301.4,8020.74899771,197055961.64736939,1
1660521600000,2022-08-15T00:00:00+00:00,24301.2,25205,23773.1,24095.2,17309.11109258,420437579.42431749,1
1660608000000,2022-08-16T00:00:00+00:00,24094.6,24243.5,23671.2,23857.2,11300.98080555,271044605.80161025,1
1660694400000,2022-08-17T00:00:00+00:00,23857.3,24440.2,23180.6,23340.4,14606.56525904,347367767.31893191,1
1660780800000,2022-08-18T00:00:00+00:00,23340.4,23600,23113,23193,4441.07513788,103916245.08208727,1
1660867200000,2022-08-19T00:00:00+00:00,23193.1,23201.9,20789,20835.1,28658.26842497,619988940.78339676,1
1660953600000,2022-08-20T00:00:00+00:00,20835.2,21363.4,20767.7,21138.3,11707.28111607,247769433.61101833,1
1661040000000,2022-08-21T00:00:00+00:00,21138.3,21788.8,21070,21515.8,8807.35285789,188357129.446696,1
1661126400000,2022-08-22T00:00:00+00:00,21515.8,21542.4,20893.4,21406.8,11126.32203707,235508244.48297574,1
1661212800000,2022-08-23T00:00:00+00:00,21402.1,21674.5,20888,21525.1,9061.6865309,193559878.51044618,1
1661299200000,2022-08-24T00:00:00+00:00,21525.4,21891,21153,21366.1,8513.85080963,182921242.35811088,1
1661385600000,2022-08-25T00:00:00+00:00,21366.2,21812.5,21315.8,21564.2,5191.80933036,112180471.02779937,1
1661472000000,2022-08-26T00:00:00+00:00,21563.2,21881.6,20087.9,20243.6,23658.64292775,496992338.5234155,1
1661558400000,2022-08-27T00:00:00+00:00,20242.9,20400,19784.9,20036,9695.34426387,194761186.2587337,1
1661644800000,2022-08-28T00:00:00+00:00,20035.5,20164,19523.9,19557.1,6705.31062128,133552043.62664523,1
1661731200000,2022-08-29T00:00:00+00:00,19557.2,20428,19555.1,20292.2,7734.87618656,154901046.42918651,1
1661817600000,2022-08-30T00:00:00+00:00,20291.3,20570.1,19541.2,19807.9,8827.41770823,177029533.83954528,1
1661904000000,2022-08-31T00:00:00+00:00,19808,20488,19802.1,20050.7,6748.43799907,136375078.91536881,1
1661990400000,2022-09-01T00:00:00+00:00,20050.2,20204.3,19566.2,20133,6761.73507924,134719918.92426069,1
1662076800000,2022-09-02T00:00:00+00:00,20131.6,20435,19757.9,19954.3,10660.26392613,214894518.95338487,1
1662163200000,2022-09-03T00:00:00+00:00,19954.3,20050.9,19654.5,19833.7,2746.879407,54466062.26707793,1
1662249600000,2022-09-04T00:00:00+00:00,19833.7,20023.5,19590,20001.1,3643.24866205,72167401.28769826,1
1662336000000,2022-09-05T00:00:00+00:00,20001.1,20057.7,19637.8,19791.9,3569.33929345,70678880.73999999,1
1662422400000,2022-09-06T00:00:00+00:00,19792.4,20182.6,18659.3,18792,15958.22200032,308921798.61277823,1
1662508800000,2022-09-07T00:00:00+00:00,18790.2,19457.6,18505.7,19289.1,8691.68904666,164648673.88407751,1
1662595200000,2022-09-08T00:00:00+00:00,19289,19456.7,19012.5,19318.6,9228.95602338,177410518.01966035,1
1662681600000,2022-09-09T00:00:00+00:00,19318.6,21664.6,19295.5,21364,19583.03896674,405903228.72692522,1
1662768000000,2022-09-10T00:00:00+00:00,21364,21800,21119.7,21647.7,7374.18802291,158046340.12897678,1
1662854400000,2022-09-11T00:00:00+00:00,21648.4,21880,21352.9,21829.7,5987.19740612,129399938.84200101,1
1662940800000,2022-09-12T00:00:00+00:00,21829.4,22490,21540.9,22396.5,16434.81485214,364363828.53621038,1
1663027200000,2022-09-13T00:00:00+00:00,22396.6,22800,19864.9,20171.8,26658.82434586,571884454.40999844,1
1663113600000,2022-09-14T00:00:00+00:00,20170.9,20525,19615,20226.5,10727.83419907,216419726.06970094,1
1663200000000,2022-09-15T00:00:00+00:00,20226.7,20325.6,19472.9,19699.5,9947.26956682,198678806.57178593,1
1663286400000,2022-09-16T00:00:00+00:00,19699.5,19890.3,19320,19802.8,6184.79109947,121515935.52413766,1
1663372800000,2022-09-17T00:00:00+00:00,19802.9,20192,19752,20114.5,6466.34912717,129344446.97787352,1
1663459200000,2022-09-18T00:00:00+00:00,20114.5,20115.4,19340,19413.9,7836.98558529,155252829.2881887,1
1663545600000,2022-09-19T00:00:00+00:00,19413.9,19684,18235.2,19534.6,21414.12861888,406495336.23350145,1
1663632000000,2022-09-20T00:00:00+00:00,19535.4,19632.3,18727.3,18875.6,7846.2116031,150209046.56357164,1
1663718400000,2022-09-21T00:00:00+00:00,18875,19995,18144.5,18462,24958.02072977,475058689.8053238,1
1663804800000,2022-09-22T00:00:00+00:00,18461.1,19526.8,18360,19399.4,13905.76528085,263569238.94566141,1
1663891200000,2022-09-23T00:00:00+00:00,19399.6,19496,18533.4,19289.1,9529.86459871,181230300.04689521,1
1663977600000,2022-09-24T00:00:00+00:00,19289.1,19308.4,18810.2,18921.6,4388.34936304,83711486.70168547,1
1664064000000,2022-09-25T00:00:00+00:00,18922.2,19188,18635,18809.2,4667.38438013,88496952.33965983,1
1664150400000,2022-09-26T00:00:00+00:00,18809.2,19318.9,18687.6,19228.4,7994.17952959,152090517.64711263,1
1664236800000,2022-09-27T00:00:00+00:00,19228.4,20380.3,18820,19080,16591.20098355,326927191.14913333,1
1664323200000,2022-09-28T00:00:00+00:00,19080.1,19777,18461.9,19414.1,13501.03949394,257574483.3737014,1
1664409600000,2022-09-29T00:00:00+00:00,19414.1,19647.8,18842.4,19589.4,10244.83216548,197969618.86622838,1
1664496000000,2022-09-30T00:00:00+00:00,19589.6,20176.8,19155.4,19421.7,12410.49261114,242778541.77099846,1
1664582400000,2022-10-01T00:00:00+00:00,19422.6,19481.6,19160.1,19311.3,3289.96599433,63564215.77477578,1
1664668800000,2022-10-02T00:00:00+00:00,19311.4,19396.7,18920,19055.1,4166.70329414,79916727.0905735,1
1664755200000,2022-10-03T00:00:00+00:00,19055.2,19725,18963.7,19629.6,7047.8518702,136442955.26006407,1
1664841600000,2022-10-04T00:00:00+00:00,19628.6,20462.4,19492.9,20335.1,17599.74992166,352594951.52066709,1
1664928000000,2022-10-05T00:00:00+00:00,20336.6,20361.3,19731.2,20158.6,6984.38625619,140243338.57623124,1
1665014400000,2022-10-06T00:00:00+00:00,20158.6,20447.9,19855.7,19961.1,9629.87132448,194161744.83578939,1
1665100800000,2022-10-07T00:00:00+00:00,19962.1,20052.8,19320.5,19529.6,12547.32167776,247087549.63571801,1
1665187200000,2022-10-08T00:00:00+00:00,19529.6,19626.2,19215.9,19413.2,3415.16984421,66469619.84667477,1
1665273600000,2022-10-09T00:00:00+00:00,19413.3,19558.9,19323,19441.3,4195.52552379,81653244.72669447,1
1665360000000,2022-10-10T00:00:00+00:00,19441.3,19522.7,19020,19129.1,6183.60880812,119139693.36241246,1
1665446400000,2022-10-11T00:00:00+00:00,19130.1,19263.9,18849.5,19061.1,10436.38940333,198606678.93833459,1
1665532800000,2022-10-12T00:00:00+00:00,19060.5,19233.7,18957.1,19155.2,4584.49562982,87556867.34767926,1
1665619200000,2022-10-13T00:00:00+00:00,19155.2,19507,18155,19377.8,24275.27266549,454814675.34511988,1
1665705600000,2022-10-14T00:00:00+00:00,19377.8,19954.8,19075.8,19178.8,9425.70398054,184392556.0725538,1
1665792000000,2022-10-15T00:00:00+00:00,19178.8,19227.4,18975.7,19070.6,3209.1363286,61372531.03260876,1
1665878400000,2022-10-16T00:00:00+00:00,19070.5,19421.7,19065.7,19263.4,4062.16437325,78198001.23734478,1
1665964800000,2022-10-17T00:00:00+00:00,19263.4,19675.2,19160.2,19547.6,6921.25765741,134737871.71804851,1
1666051200000,2022-10-18T00:00:00+00:00,19547.7,19709.2,19090.1,19330.1,10046.13874378,195411174.98870482,1
1666137600000,2022-10-19T00:00:00+00:00,19330,19358.6,19069.1,19126.9,3866.39233213,74218722.66720087,1
1666224000000,2022-10-20T00:00:00+00:00,19126.6,19346.2,18902.1,19043.9,5370.89292827,102647294.33902042,1
1666310400000,2022-10-21T00:00:00+00:00,19043.9,19250,18648.9,19161.9,5547.47726559,105418132.20619146,1
1666396800000,2022-10-22T00:00:00+00:00,19162.1,19252,19115,19202.7,1644.25154536,31530768.38065922,1
1666483200000,2022-10-23T00:00:00+00:00,19202.8,19691.9,19070.1,19570.5,3643.0505164,70634908.34610305,1
1666569600000,2022-10-24T00:00:00+00:00,19570.7,19598.8,19161,19332.3,5763.45950799,111598885.89775978,1
1666656000000,2022-10-25T00:00:00+00:00,19331.4,20412.3,19242.6,20082.5,12318.87841989,245505261.61785637,1
1666742400000,2022-10-26T00:00:00+00:00,20082.5,21020.5,20053.2,20770.8,16139.97812262,332850537.5917716,1
1666828800000,2022-10-27T00:00:00+00:00,20769.2,20870.3,20200,20290.4,11665.29266333,240002658.44780387,1
1666915200000,2022-10-28T00:00:00+00:00,20291.5,20746.8,20000,20592.5,11215.53794221,227684405.07727718,1
1667001600000,2022-10-29T00:00:00+00:00,20592.5,21080,20556.9,20808.1,11527.32298288,240058063.72343819,1
1667088000000,2022-10-30T00:00:00+00:00,20808.2,20927.7,20509.7,20626.7,5898.12639578,122372282.18546052,1
1667174400000,2022-10-31T00:00:00+00:00,20627,20846,20241.1,20491,5725.63191997,117317749.21502016,1
1667260800000,2022-11-01T00:00:00+00:00,20491.1,20694.6,20332.2,20483.2,4016.30315846,82379839.14154603,1
1667347200000,2022-11-02T00:00:00+00:00,20484,20800,20056.5,20151.9,8920.40003597,182293075.1740408,1
1667433600000,2022-11-03T00:00:00+00:00,20152,20393.5,20032.2,20206.3,4257.83656213,86183686.16831307,1
1667520000000,2022-11-04T00:00:00+00:00,20206.2,21300,20184.1,21145.1,11001.82924241,228800357.27779352,1
1667606400000,2022-11-05T00:00:00+00:00,21145.2,21475.9,21084.2,21300.5,3980.28832379,84943038.65833196,1
1667692800000,2022-11-06T00:00:00+00:00,21300.4,21362.6,20880,20908.9,3771.99758232,79905342.35865185,1
1667779200000,2022-11-07T00:00:00+00:00,20908.9,21067.3,20385.9,20587.3,5735.01205367,118998980.64390519,1
1667865600000,2022-11-08T00:00:00+00:00,20587.6,20690.8,16888,18545,61952.08574557,1174505214.90840347,1
1667952000000,2022-11-09T00:00:00+00:00,18545.1,18585.7,15511.1,15921,43418.30915522,737979781.22847233,1
1668038400000,2022-11-10T00:00:00+00:00,15920.9,18193.4,15753.5,17601.1,29280.19692013,498253395.57879191,1
1668124800000,2022-11-11T00:00:00+00:00,17601.6,17696.4,16366,17063.8,17120.37139548,292280498.22504567,1
1668211200000,2022-11-12T00:00:00+00:00,17070,17120.5,16631.2,16813.1,4794.60121262,80760067.7258676,1
1668297600000,2022-11-13T00:00:00+00:00,16813.2,16955,16241.4,16336.5,5155.41581508,85584646.69150023,1
1668384000000,2022-11-14T00:00:00+00:00,16333.8,17198.7,15820,16623.5,13024.54065223,214961018.65890803,1
1668470400000,2022-11-15T00:00:00+00:00,16621.7,17125.5,16533,16896.8,9914.58113433,167305264.4628001,1
1668556800000,2022-11-16T00:00:00+00:00,16895.6,17000,16381.3,16660,7222.8238479,120559630.5505021,1
